lead_id,company,niche,city_country,website_or_profile,contact_channel,contact_person_or_role,public_source_url,pain_hypothesis,personalization_angle,offer_fit_score_1_5,status,owner_profile,last_touch_date,next_action,next_action_due,reply_summary,demo_datetime,proposal_package,payment_status,delivery_handoff_status,notes
L048,"Сеть клиник пластической хирургии и косметологии Frau Klinik""",косметология,"Москва, Россия",https://www.frauklinik.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.frauklinik.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L049,"Центр здоровья и красоты ""Океан смыслов"" в Москве",косметология,"Москва, Россия",https://oceanstudia.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://oceanstudia.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L050,"Эссет Москва, Орджоникидзе 12с4, 1208",косметология,"Москва, Россия",https://dikidi.ru/ru/profile/esset_2090669,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dikidi.ru/ru/profile/esset_2090669,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L051,DANCE & BEAUTY,салон красоты,"Москва, Россия",https://dancebeauty.ru/,WhatsApp публично указан,администратор/владелец (роль; персональные данные не собирались),https://dancebeauty.ru/,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L052,KhoninDementeva Салон красоты,салон красоты,"Москва, Россия",https://vk.com/khonindementeva,WhatsApp публично указан; онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/khonindementeva,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L053,Онлайн запись,салон красоты,"Москва, Россия",https://primenailbar.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://primenailbar.ru/,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,3,nurture,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L054,Салон красоты ТИШЕ,салон красоты,"Москва, Россия",https://tishemsk.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://tishemsk.ru/,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,3,nurture,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L055,Сеть салонов красоты EVA PILOYAN,салон красоты,"Москва, Россия",https://evapiloyan.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://evapiloyan.ru/,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,3,nurture,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L056,ЦVЕТИ САЛОН КРАСОТЫ,салон красоты,"Москва, Россия",https://tsvetibeauty.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://tsvetibeauty.ru/,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L057,Центр Красоты НОЛА на Павелецкой,салон красоты,"Москва, Россия",https://nola.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://nola.ru/,"запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора",показать сценарий быстрой записи в мессенджере по услуге/мастеру/времени,3,nurture,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L058,Britvabarber — Главная,барбершоп,"Москва, Россия",https://britvabarber.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://britvabarber.ru/,повторные записи и выбор слота; бот может принять заявку и передать администратору без пропуска сообщений,показать сценарий повторной записи и выбора слота без ожидания ответа администратора,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L059,БАРБЕРШОП FABRIC13,барбершоп,"Москва, Россия",https://vk.com/fabric13barber,WhatsApp публично указан; онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/fabric13barber,повторные записи и выбор слота; бот может принять заявку и передать администратору без пропуска сообщений,показать сценарий повторной записи и выбора слота без ожидания ответа администратора,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L060,Барбершоп в Москве цены записаться на стрижку рядом онлайн,барбершоп,"Москва, Россия",https://firmbarbershop.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://firmbarbershop.ru/,повторные записи и выбор слота; бот может принять заявку и передать администратору без пропуска сообщений,показать сценарий повторной записи и выбора слота без ожидания ответа администратора,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L061,Brilliant Detail,детейлинг,"Москва, Россия",https://brilliant-detail.ru/,WhatsApp публично указан,администратор/владелец (роль; персональные данные не собирались),https://brilliant-detail.ru/,"заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа",показать сценарий «марка авто → услуга → фото/комментарий → дата»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L062,Бронь лобаша ЗАПИСЫВАЙСЯ по Тел. или WhatsApp...,детейлинг,"Москва, Россия",https://vk.com/wall-213041556_26,онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-213041556_26,"заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа",показать сценарий «марка авто → услуга → фото/комментарий → дата»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L063,Детейлинг авто,детейлинг,"Москва, Россия",https://detailing-on.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://detailing-on.ru/,"заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа",показать сценарий «марка авто → услуга → фото/комментарий → дата»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L064,"Детейлинг центр в Москве, профессиональная студия DOTCARS",детейлинг,"Москва, Россия",https://dotcars.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dotcars.ru/,"заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа",показать сценарий «марка авто → услуга → фото/комментарий → дата»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L065,"Детейлинг центр, мойка автомобиля в Москве, СПб, Казани...",детейлинг,"Москва, Россия",https://carbase-dc.ru/,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://carbase-dc.ru/,"заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа",показать сценарий «марка авто → услуга → фото/комментарий → дата»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L066,"оклейка, бронирование, москва, пленка, полиуретоновая",детейлинг,"Москва, Россия",https://do-predela.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://do-predela.ru/,"заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа",показать сценарий «марка авто → услуга → фото/комментарий → дата»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L067,Awm king mechanik,кузовной ремонт,"Москва, Россия",https://vk.com/wall-128278509,WhatsApp публично указан; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-128278509,нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф,показать сценарий сбора фото повреждения и контактов для оценки,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L068,Deteling Auto — Детейлинг,кузовной ремонт,"Москва, Россия",https://deteling-auto.my1.ru/index/kuzovnoi_remont/0-10,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://deteling-auto.my1.ru/index/kuzovnoi_remont/0-10,нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф,показать сценарий сбора фото повреждения и контактов для оценки,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L069,Кузовной ремонт автомобилей в голицыно,кузовной ремонт,"Москва, Россия",https://rzona.pro/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://rzona.pro/,нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф,показать сценарий сбора фото повреждения и контактов для оценки,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L070,Удаление вмятин без покраски в Москве,кузовной ремонт,"Москва, Россия",https://xn--b1afkpce5ac0j.xn--p1ai/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://xn--b1afkpce5ac0j.xn--p1ai/,нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф,показать сценарий сбора фото повреждения и контактов для оценки,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L071,Автоподбор Москва,автоподбор,"Москва, Россия",https://vk.com/avtopodbor_moscow,WhatsApp публично указан; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/avtopodbor_moscow,длинный первичный бриф по бюджету/марке/срокам; бот может квалифицировать заявку до созвона,показать сценарий квалификации бюджета/марки/срока перед консультацией,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L072,Автоподбор и Проверки автомобилей в Москве,автоподбор,"Москва, Россия",https://getpodbor.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://getpodbor.ru/,длинный первичный бриф по бюджету/марке/срокам; бот может квалифицировать заявку до созвона,показать сценарий квалификации бюджета/марки/срока перед консультацией,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L073,Автоподбор по всей России,автоподбор,"Москва, Россия",https://dss-g.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://dss-g.ru/,длинный первичный бриф по бюджету/марке/срокам; бот может квалифицировать заявку до созвона,показать сценарий квалификации бюджета/марки/срока перед консультацией,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L074,Грузовой шиномонтаж круглосуточно (24 часа) в Москве,шиномонтаж,"Москва, Россия",https://profi.ru/remont/gruzovoi-shinomontazh/24-hours/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://profi.ru/remont/gruzovoi-shinomontazh/24-hours/,сезонные пиковые обращения и быстрые слоты; бот может принять заявку на время/услугу,"показать сценарий сезонной записи: авто, радиус, услуга, слот",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L075,Самый дешевый шиномонтаж в Москве с онлайн записью.,шиномонтаж,"Москва, Россия",https://pit-stops.ru/moskva,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://pit-stops.ru/moskva,сезонные пиковые обращения и быстрые слоты; бот может принять заявку на время/услугу,"показать сценарий сезонной записи: авто, радиус, услуга, слот",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L076,"Шиномонтаж, цены на шиномонтаж",шиномонтаж,"Москва, Россия",https://mosautoshina.ru/fitting/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mosautoshina.ru/fitting/,сезонные пиковые обращения и быстрые слоты; бот может принять заявку на время/услугу,"показать сценарий сезонной записи: авто, радиус, услуга, слот",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L077,Автосервис «Белый сервис» в Казани,автосервис,"Казань, Россия",https://kazan.beliyservice.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://kazan.beliyservice.ru/,"много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время",показать сценарий «марка → симптом → желаемая дата → заявка мастеру»,3,nurture,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L078,Автосервис в Казани,автосервис,"Казань, Россия",https://kazan.fitauto.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://kazan.fitauto.ru/,"много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время",показать сценарий «марка → симптом → желаемая дата → заявка мастеру»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L079,ВАГ Сервис Казань,автосервис,"Казань, Россия",https://xn-----6kccahcgtxiz6b8ane7q.xn--p1ai/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://xn-----6kccahcgtxiz6b8ane7q.xn--p1ai/,"много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время",показать сценарий «марка → симптом → желаемая дата → заявка мастеру»,3,nurture,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L080,Элит Моторс,автосервис,"Казань, Россия",https://elit-motors-ulitsa-telmana.clients.site/,WhatsApp публично указан; Telegram публично указан,администратор/владелец (роль; персональные данные не собирались),https://elit-motors-ulitsa-telmana.clients.site/,"много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время",показать сценарий «марка → симптом → желаемая дата → заявка мастеру»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L081,Дизайнерский ремонт под ключ в Уфе,ремонт квартир,"Москва, Россия",https://vr-ufa.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://vr-ufa.ru/,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L082,Калькулятор ремонта квартиры,ремонт квартир,"Москва, Россия",https://remont-troick.ru/kalkulyator-stoimosti-remonta,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://remont-troick.ru/kalkulyator-stoimosti-remonta,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L083,Калькулятор стоимости ремонта квартиры в Москве,ремонт квартир,"Москва, Россия",https://monolit-mos.ru/calculator,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://monolit-mos.ru/calculator,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L084,Полный прайс-лист с ценами на ремонтно-строительные работы...,ремонт квартир,"Москва, Россия",https://garantstroikompleks.ru/prajs-list,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://garantstroikompleks.ru/prajs-list,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L085,Ремонт квартир в Санкт-Петербурге • 2026,ремонт квартир,"Москва, Россия",https://remont-otdelka.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://remont-otdelka.ru/,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L086,Ремонт квартир под ключ в Москве,ремонт квартир,"Москва, Россия",https://youdo.com/bytovoj-remont/repair/flat,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://youdo.com/bytovoj-remont/repair/flat,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L087,Цены на ремонт квартир под ключ в Москве,ремонт квартир,"Москва, Россия",https://stroyremdizayn.ru/cena-remonta-i-otdelki-kvartir-pod-klyuch/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://stroyremdizayn.ru/cena-remonta-i-otdelki-kvartir-pod-klyuch/,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L088,Шпаклевка стен и цена за квадратный метр работы частного...,ремонт квартир,"Москва, Россия",https://remontami7.ru/shpaklevka-sten-cena,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://remontami7.ru/shpaklevka-sten-cena,"дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка",показать сценарий квалификации объекта/площади/бюджета/сроков,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L089,"Випсилинг, натяжные потолки №1 в Москве",натяжные потолки,"Москва, Россия",https://vipceiling.ru/moscow/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://vipceiling.ru/moscow/,заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру,показать сценарий заявки на замер с площадью/адресом/дедлайном,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L090,"Натяжные потолки Москва, тканевый натяжной...",натяжные потолки,"Москва, Россия",https://www.potolochkin.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.potolochkin.ru/,заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру,показать сценарий заявки на замер с площадью/адресом/дедлайном,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L091,"Натяжные потолки в Москве, цены с установкой от...",натяжные потолки,"Москва, Россия",https://potolok.net/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://potolok.net/,заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру,показать сценарий заявки на замер с площадью/адресом/дедлайном,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L092,Натяжные потолки в Москве...,натяжные потолки,"Москва, Россия",https://thepotolki.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://thepotolki.ru/,заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру,показать сценарий заявки на замер с площадью/адресом/дедлайном,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L093,Натяжные потолки с установкой,натяжные потолки,"Москва, Россия",https://xn--h1acdcbkiabgrmg6jn.xn--p1ai/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://xn--h1acdcbkiabgrmg6jn.xn--p1ai/,заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру,показать сценарий заявки на замер с площадью/адресом/дедлайном,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L094,Натяжные потолки №1 в Москве,натяжные потолки,"Москва, Россия",https://tmk-potolok.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://tmk-potolok.ru/,заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру,показать сценарий заявки на замер с площадью/адресом/дедлайном,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L095,Oknarosta — Пластиковые окна,окна,"Москва, Россия",https://www.oknarosta.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.oknarosta.ru/,расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок,"показать сценарий расчёта/замера: тип окна, размеры, адрес, срок",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L096,Пластиковые окна в Москве и МО,окна,"Москва, Россия",https://plastokna-msk.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://plastokna-msk.ru/,расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок,"показать сценарий расчёта/замера: тип окна, размеры, адрес, срок",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
