company,niche,channel,contact,source,score,owner,status,next_action,due_date,notes
Детейлинг авто,детейлинг,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://detailing-on.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа"
"Детейлинг центр в Москве, профессиональная студия DOTCARS",детейлинг,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dotcars.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа"
"Детейлинг центр, мойка автомобиля в Москве, СПб, Казани...",детейлинг,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://carbase-dc.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа"
"оклейка, бронирование, москва, пленка, полиуретоновая",детейлинг,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://do-predela.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа"
Awm king mechanik,кузовной ремонт,WhatsApp публично указан; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-128278509,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф
Deteling Auto — Детейлинг,кузовной ремонт,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://deteling-auto.my1.ru/index/kuzovnoi_remont/0-10,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф
Кузовной ремонт автомобилей в голицыно,кузовной ремонт,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://rzona.pro/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф
Удаление вмятин без покраски в Москве,кузовной ремонт,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://xn--b1afkpce5ac0j.xn--p1ai/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: нужно собрать фото/описание повреждения и контакты до оценки; бот может формировать первичный бриф
Автоподбор Москва,автоподбор,WhatsApp публично указан; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/avtopodbor_moscow,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: длинный первичный бриф по бюджету/марке/срокам; бот может квалифицировать заявку до созвона
Автоподбор и Проверки автомобилей в Москве,автоподбор,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://getpodbor.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: длинный первичный бриф по бюджету/марке/срокам; бот может квалифицировать заявку до созвона
Автоподбор по всей России,автоподбор,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://dss-g.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: длинный первичный бриф по бюджету/марке/срокам; бот может квалифицировать заявку до созвона
Грузовой шиномонтаж круглосуточно (24 часа) в Москве,шиномонтаж,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://profi.ru/remont/gruzovoi-shinomontazh/24-hours/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: сезонные пиковые обращения и быстрые слоты; бот может принять заявку на время/услугу
Самый дешевый шиномонтаж в Москве с онлайн записью.,шиномонтаж,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://pit-stops.ru/moskva,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: сезонные пиковые обращения и быстрые слоты; бот может принять заявку на время/услугу
"Шиномонтаж, цены на шиномонтаж",шиномонтаж,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mosautoshina.ru/fitting/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: сезонные пиковые обращения и быстрые слоты; бот может принять заявку на время/услугу
Автосервис «Белый сервис» в Казани,автосервис,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://kazan.beliyservice.ru/,3,lead-research-agent,nurture,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время"
Автосервис в Казани,автосервис,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://kazan.fitauto.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время"
ВАГ Сервис Казань,автосервис,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://xn-----6kccahcgtxiz6b8ane7q.xn--p1ai/,3,lead-research-agent,nurture,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время"
Элит Моторс,автосервис,WhatsApp публично указан; Telegram публично указан,администратор/владелец (роль; персональные данные не собирались),https://elit-motors-ulitsa-telmana.clients.site/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много заявок с разной симптоматикой; бот может уточнить марку, проблему и удобное время"
Дизайнерский ремонт под ключ в Уфе,ремонт квартир,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://vr-ufa.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Калькулятор ремонта квартиры,ремонт квартир,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://remont-troick.ru/kalkulyator-stoimosti-remonta,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Калькулятор стоимости ремонта квартиры в Москве,ремонт квартир,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://monolit-mos.ru/calculator,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Полный прайс-лист с ценами на ремонтно-строительные работы...,ремонт квартир,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://garantstroikompleks.ru/prajs-list,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Ремонт квартир в Санкт-Петербурге • 2026,ремонт квартир,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://remont-otdelka.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Ремонт квартир под ключ в Москве,ремонт квартир,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://youdo.com/bytovoj-remont/repair/flat,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Цены на ремонт квартир под ключ в Москве,ремонт квартир,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://stroyremdizayn.ru/cena-remonta-i-otdelki-kvartir-pod-klyuch/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
Шпаклевка стен и цена за квадратный метр работы частного...,ремонт квартир,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://remontami7.ru/shpaklevka-sten-cena,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогой лид требует квалификации по объекту, бюджету и срокам; бот собирает бриф до звонка"
"Випсилинг, натяжные потолки №1 в Москве",натяжные потолки,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://vipceiling.ru/moscow/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру
"Натяжные потолки Москва, тканевый натяжной...",натяжные потолки,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.potolochkin.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру
"Натяжные потолки в Москве, цены с установкой от...",натяжные потолки,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://potolok.net/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру
Натяжные потолки в Москве...,натяжные потолки,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://thepotolki.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру
Натяжные потолки с установкой,натяжные потолки,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://xn--h1acdcbkiabgrmg6jn.xn--p1ai/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру
Натяжные потолки №1 в Москве,натяжные потолки,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://tmk-potolok.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявки на замер требуют адрес/площадь/сроки; бот может собрать данные и передать менеджеру
Oknarosta — Пластиковые окна,окна,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.oknarosta.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок
Пластиковые окна в Москве и МО,окна,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://plastokna-msk.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок
Пластиковые окна в Москве с установкой,окна,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://okno.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок
Пластиковые окна от производителя,окна,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://okna2-0.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок
Пластиковые окна от производителя в Москве,окна,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.mosokna.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок
Пластиковые окна: заказать в Москве,окна,WhatsApp публично указан,администратор/владелец (роль; персональные данные не собирались),https://okno.ooo/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: расчёт требует параметров и замера; бот может принять первичные размеры/адрес/срок
20 MIN I Школа английского языка в телеграм,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://20minschool.online/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Курсы,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://lk.clubpixel.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Курсы английский онлайн обучение,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://profieng.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Курсы программирования для детей,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://foxford.ru/programming,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Обучение английскому языку онлайн в онлайн школе Lingua...,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://lingua-airlines.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн курсы английского ЛингвоЛэнд,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://lingvoland.online/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн курсы маркетинга,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://skillbox.ru/marketing/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн курсы программирования,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://skillbox.ru/code/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
"Онлайн школа для взрослых и детей. Обучение в Zoom, Teams...",онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://www.toptutors.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн школа программирования BrainGo,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://braingo.ru/online,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-курсы английского языка для детей,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://xn--80ailddc9bg.xn--p1ai/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-школа «Улей»,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://uley.io/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-школа Квантастика,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://kvantastica.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-школа Тетрика,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://tetrika-school.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-школа иностранных языков,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://online-london.com/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-школа иностранных языков Anecole,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://anecole.com/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Онлайн-школа программирования для детей от 5 до 17 лет,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://pixel.study/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Уроки английского для начинающих в Нижнем Новгороде,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://oxford-russia.ru/besplatniy-urok/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Хекслет,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://ru.hexlet.io/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
Школа программирования для детей МШП,онлайн-школа,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://informatics.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: лиды с рекламы/соцсетей задают повторяющиеся вопросы; бот может квалифицировать интерес, уровень и записать на пробный шаг"
